"url","Link","Link_link","Value 1","Value 2","Value 3"
"http://www.vandal.net/juegos/0/videojuegos","12 orbits","http://www.vandal.net/juegos/pc/12-orbits/42839","24/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos","28 Waves Later","http://www.vandal.net/juegos/pc/28-waves-later/37348","Octubre 2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos","9th Dawn II","http://www.vandal.net/juegos/pc/9th-dawn-ii/39571","17/10/2016","Ordenador","Rol"
"http://www.vandal.net/juegos/0/videojuegos","A Fear Of Heights, And Other Things","http://www.vandal.net/juegos/pc/a-fear-of-heights-and-other-things/42699","17/10/2016","Ordenador","Otros"
"http://www.vandal.net/juegos/0/videojuegos","A Quiver of Crows","http://www.vandal.net/juegos/pc/a-quiver-of-crows/30117","19/10/2016","Ordenador","Acción / Aventura / Shooter"
"http://www.vandal.net/juegos/0/videojuegos","Above - VR","http://www.vandal.net/juegos/pc/above-vr/43048","1/11/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos","Abrams Tank","http://www.vandal.net/juegos/pc/abrams-tank/41741","18/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos","Accounting","http://www.vandal.net/juegos/pc/accounting/42101","18/10/2016","Ordenador","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos","Ace Banana","http://www.vandal.net/juegos/ps4/ace-banana/42424","Octubre 2016","PlayStation 4","Otros"
"http://www.vandal.net/juegos/0/videojuegos","Air Conflicts: Secret Wars","http://www.vandal.net/juegos/ps4/air-conflicts-secret-wars/43031","28/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos","Arizona Rose and the Pirates' Riddles","http://www.vandal.net/juegos/pc/arizona-rose-and-the-pirates-riddles/42830","19/10/2016","Ordenador","Puzle"
"http://www.vandal.net/juegos/0/videojuegos","Aselia the Eternal -The Spirit of Eternity Sword-","http://www.vandal.net/juegos/pc/aselia-the-eternal-the-spirit-of-eternity-sword/38573","3/11/2016","Ordenador","Aventura / Rol"
"http://www.vandal.net/juegos/0/videojuegos","Astral Heroes","http://www.vandal.net/juegos/pc/astral-heroes/42990","20/10/2016","Ordenador","Estrategia / Multi Online"
